x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
942.131,388.292,972.525,533.014,1004.222,565.693,964.243,670.282,932.501,580.072,1108.360,487.070,889.756,668.771,nan,nan,846.458,532.260,902.099,462.269
939.307,388.554,972.371,533.694,1000.829,568.178,964.288,670.934,933.102,579.122,1109.127,491.152,888.742,666.399,nan,nan,846.652,531.802,902.368,463.037
934.990,389.237,974.271,531.005,1000.620,568.454,963.540,662.961,933.989,577.743,1109.237,490.889,887.972,664.207,nan,nan,846.795,532.181,902.547,463.053
935.731,388.859,969.345,540.051,1001.539,567.949,963.809,669.843,934.956,575.875,1109.611,493.435,887.444,662.518,nan,nan,846.591,531.497,902.488,461.814
931.728,389.631,969.981,539.861,1001.651,568.004,963.358,665.763,936.093,573.563,1109.458,498.454,886.272,659.963,nan,nan,846.610,531.321,902.611,461.632
928.280,390.295,975.077,531.472,1001.992,568.065,963.400,669.213,936.491,572.983,1109.595,501.873,889.722,663.450,1039.498,521.819,846.620,530.519,902.757,462.201
926.337,390.908,970.484,540.810,1002.200,568.082,963.585,669.618,936.824,571.922,1109.636,504.433,884.333,655.765,1041.052,520.775,846.465,529.513,902.814,462.240
924.169,391.642,969.989,542.041,1000.632,569.614,964.466,668.579,937.428,569.748,1109.489,507.593,884.092,654.543,1042.036,519.390,846.511,529.130,903.259,463.341
923.234,392.013,971.073,541.108,1003.229,567.501,965.450,673.152,937.309,569.766,1109.455,510.237,883.765,653.418,1043.743,519.050,846.509,527.806,903.717,464.416
920.872,392.882,971.221,542.174,1003.410,567.466,965.928,672.561,938.586,566.791,1109.218,512.736,882.676,651.280,1045.073,517.932,846.917,528.178,903.932,463.709
919.464,393.418,971.648,541.841,1005.548,565.970,966.982,673.893,937.133,569.978,1109.157,515.495,881.709,649.032,1046.113,516.278,847.426,529.356,904.162,462.688
918.215,394.014,975.787,534.021,1001.805,569.922,967.560,674.258,939.171,564.005,1109.323,516.870,884.735,653.070,1046.817,516.310,847.431,527.201,904.474,461.822
915.926,394.577,972.631,541.638,nan,nan,nan,nan,940.060,561.226,1109.279,519.237,884.519,652.160,1047.580,516.100,847.754,526.100,904.964,460.869
